candle_begin_time,涨跌幅
2024-11-30,30.37%
2024-12-31,1.77%
2025-01-31,-14.65%
2025-02-28,-20.54%
2025-03-31,-20.3%
2025-04-30,6.02%
2025-05-31,-6.63%
2025-06-30,-9.21%
2025-07-31,19.86%
2025-08-31,6.62%
2025-09-30,-0.0%
