,0
累积净值,1.09
年化收益,13.51%
最大回撤,-13.26%
最大回撤开始时间,2025-05-11 04:00:00
最大回撤结束时间,2025-06-22 21:00:00
年化收益/回撤比,1.02
盈利周期数,2999.0
亏损周期数,2880.0
胜率,51.00%
每周期平均收益,0.00%
盈亏收益比,0.98
单周期最大盈利,1.81%
单周期大亏损,-2.47%
最大连续盈利周期数,14.0
最大连续亏损周期数,21.0
收益率标准差,0.24%
