candle_begin_time,涨跌幅
2021-03-31,102.62%
2021-06-30,35.03%
2021-09-30,35.22%
2021-12-31,17.85%
2022-03-31,25.45%
2022-06-30,30.34%
2022-09-30,32.17%
2022-12-31,19.64%
2023-03-31,18.63%
2023-06-30,8.41%
2023-09-30,15.73%
2023-12-31,14.0%
2024-03-31,16.18%
2024-06-30,9.12%
2024-09-30,8.66%
2024-12-31,26.0%
2025-03-31,13.89%
2025-06-30,1.37%
2025-09-30,11.94%
