,0
累积净值,42.9
年化收益,123.50%
最大回撤,-15.57%
最大回撤开始时间,2022-04-05 21:00:00
最大回撤结束时间,2022-05-12 06:00:00
年化收益/回撤比,7.93
盈利周期数,20865.0
亏损周期数,20077.0
胜率,50.96%
每周期平均收益,0.01%
盈亏收益比,1.11
单周期最大盈利,5.43%
单周期大亏损,-5.58%
最大连续盈利周期数,15.0
最大连续亏损周期数,960.0
收益率标准差,0.21%
