,0
累积净值,1.28
年化收益,43.66%
最大回撤,-8.91%
最大回撤开始时间,2025-04-07 06:00:00
最大回撤结束时间,2025-05-29 02:00:00
年化收益/回撤比,4.9
盈利周期数,2986.0
亏损周期数,2893.0
胜率,50.78%
每周期平均收益,0.00%
盈亏收益比,1.03
单周期最大盈利,2.02%
单周期大亏损,-2.67%
最大连续盈利周期数,10.0
最大连续亏损周期数,21.0
收益率标准差,0.21%
