,0
累积净值,1.54
年化收益,89.87%
最大回撤,-10.42%
最大回撤开始时间,2025-06-22 19:00:00
最大回撤结束时间,2025-07-11 08:00:00
年化收益/回撤比,8.63
盈利周期数,2990.0
亏损周期数,2889.0
胜率,50.85%
每周期平均收益,0.01%
盈亏收益比,1.05
单周期最大盈利,2.29%
单周期大亏损,-2.73%
最大连续盈利周期数,12.0
最大连续亏损周期数,18.0
收益率标准差,0.27%
