,0
累积净值,0.24
年化收益,-83.48%
最大回撤,-98.04%
最大回撤开始时间,2024-11-23 15:00:00
最大回撤结束时间,2025-05-05 11:00:00
年化收益/回撤比,-0.85
盈利周期数,3290.0
亏损周期数,3597.0
胜率,47.76%
每周期平均收益,0.02%
盈亏收益比,1.12
单周期最大盈利,61.18%
单周期大亏损,-40.92%
最大连续盈利周期数,10.0
最大连续亏损周期数,15.0
收益率标准差,2.84%
