,0
累积净值,1.13
年化收益,17.47%
最大回撤,-11.60%
最大回撤开始时间,2025-04-22 12:00:00
最大回撤结束时间,2025-05-29 14:00:00
年化收益/回撤比,1.51
盈利周期数,3494.0
亏损周期数,3393.0
胜率,50.73%
每周期平均收益,0.00%
盈亏收益比,1.0
单周期最大盈利,1.72%
单周期大亏损,-1.37%
最大连续盈利周期数,14.0
最大连续亏损周期数,15.0
收益率标准差,0.20%
