,0
累积净值,1.18
年化收益,28.62%
最大回撤,-7.07%
最大回撤开始时间,2025-05-10 13:00:00
最大回撤结束时间,2025-06-10 12:00:00
年化收益/回撤比,4.05
盈利周期数,2549.0
亏损周期数,3329.0
胜率,43.36%
每周期平均收益,0.00%
盈亏收益比,1.39
单周期最大盈利,1.77%
单周期大亏损,-1.36%
最大连续盈利周期数,12.0
最大连续亏损周期数,961.0
收益率标准差,0.16%
