,0
累积净值,16.39
年化收益,81.91%
最大回撤,-13.79%
最大回撤开始时间,2021-09-07 14:00:00
最大回撤结束时间,2021-11-09 08:00:00
年化收益/回撤比,5.94
盈利周期数,20822.0
亏损周期数,20121.0
胜率,50.85%
每周期平均收益,0.01%
盈亏收益比,1.07
单周期最大盈利,6.28%
单周期大亏损,-4.94%
最大连续盈利周期数,12.0
最大连续亏损周期数,60.0
收益率标准差,0.23%
