candle_begin_time,涨跌幅
2024-11-30,24.63%
2024-12-31,-84.3%
2025-01-31,-60.56%
2025-02-28,15.22%
2025-03-31,-49.93%
2025-04-30,-8.08%
2025-05-31,-48.75%
2025-06-30,-9.38%
2025-07-31,-44.87%
2025-08-31,772.6%
2025-09-30,-15.4%
