,0
累积净值,0.85
年化收益,-18.63%
最大回撤,-66.86%
最大回撤开始时间,2024-12-08 22:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,-0.28
盈利周期数,3560.0
亏损周期数,3327.0
胜率,51.68%
每周期平均收益,0.00%
盈亏收益比,0.94
单周期最大盈利,6.25%
单周期大亏损,-11.12%
最大连续盈利周期数,9.0
最大连续亏损周期数,13.0
收益率标准差,0.89%
