,0
累积净值,0.9
年化收益,-12.33%
最大回撤,-63.58%
最大回撤开始时间,2024-12-13 17:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,-0.19
盈利周期数,3567.0
亏损周期数,3320.0
胜率,51.79%
每周期平均收益,0.00%
盈亏收益比,0.94
单周期最大盈利,5.94%
单周期大亏损,-10.76%
最大连续盈利周期数,11.0
最大连续亏损周期数,14.0
收益率标准差,0.85%
