candle_begin_time,涨跌幅
2025-01-31,8.99%
2025-02-28,1.1%
2025-03-31,0.44%
2025-04-30,3.28%
2025-05-31,0.44%
2025-06-30,-1.46%
2025-07-31,8.09%
2025-08-31,4.55%
2025-09-30,0.07%
