,0
累积净值,0.68
年化收益,-38.22%
最大回撤,-72.07%
最大回撤开始时间,2024-12-13 17:00:00
最大回撤结束时间,2025-06-22 21:00:00
年化收益/回撤比,-0.53
盈利周期数,3543.0
亏损周期数,3344.0
胜率,51.44%
每周期平均收益,-0.00%
盈亏收益比,0.94
单周期最大盈利,6.28%
单周期大亏损,-10.87%
最大连续盈利周期数,10.0
最大连续亏损周期数,9.0
收益率标准差,0.90%
