,0
累积净值,1.23
年化收益,30.45%
最大回撤,-19.48%
最大回撤开始时间,2025-02-18 16:00:00
最大回撤结束时间,2025-07-10 22:00:00
年化收益/回撤比,1.56
盈利周期数,3429.0
亏损周期数,3458.0
胜率,49.78%
每周期平均收益,0.00%
盈亏收益比,1.06
单周期最大盈利,10.41%
单周期大亏损,-2.01%
最大连续盈利周期数,9.0
最大连续亏损周期数,18.0
收益率标准差,0.24%
