,0
累积净值,0.92
年化收益,-9.66%
最大回撤,-28.41%
最大回撤开始时间,2025-02-16 15:00:00
最大回撤结束时间,2025-07-10 22:00:00
年化收益/回撤比,-0.34
盈利周期数,3413.0
亏损周期数,3474.0
胜率,49.55%
每周期平均收益,-0.00%
盈亏收益比,1.01
单周期最大盈利,10.30%
单周期大亏损,-2.24%
最大连续盈利周期数,10.0
最大连续亏损周期数,12.0
收益率标准差,0.24%
