,0
累积净值,0.12
年化收益,-93.51%
最大回撤,-99.59%
最大回撤开始时间,2024-12-02 20:00:00
最大回撤结束时间,2025-06-22 09:00:00
年化收益/回撤比,-0.94
盈利周期数,3239.0
亏损周期数,3648.0
胜率,47.02%
每周期平均收益,0.00%
盈亏收益比,1.13
单周期最大盈利,61.11%
单周期大亏损,-34.12%
最大连续盈利周期数,10.0
最大连续亏损周期数,13.0
收益率标准差,2.59%
