candle_begin_time,涨跌幅
2025-01-31,11.56%
2025-02-28,6.03%
2025-03-31,4.51%
2025-04-30,0.98%
2025-05-31,0.19%
2025-06-30,-1.78%
2025-07-31,3.1%
2025-08-31,0.02%
2025-09-30,0.66%
