,0
累积净值,47.83
年化收益,128.76%
最大回撤,-35.42%
最大回撤开始时间,2022-04-05 21:00:00
最大回撤结束时间,2022-05-12 06:00:00
年化收益/回撤比,3.64
盈利周期数,21492.0
亏损周期数,19451.0
胜率,52.49%
每周期平均收益,0.01%
盈亏收益比,1.02
单周期最大盈利,4.72%
单周期大亏损,-8.53%
最大连续盈利周期数,16.0
最大连续亏损周期数,60.0
收益率标准差,0.29%
