candle_begin_time,涨跌幅
2021-01-31,29.97%
2021-02-28,45.62%
2021-03-31,70.72%
2021-04-30,13.11%
2021-05-31,-6.01%
2021-06-30,9.03%
2021-07-31,19.12%
2021-08-31,18.58%
2021-09-30,-1.24%
2021-10-31,10.05%
2021-11-30,10.9%
2021-12-31,4.42%
2022-01-31,2.1%
2022-02-28,10.27%
2022-03-31,12.79%
2022-04-30,-4.25%
2022-05-31,3.19%
2022-06-30,13.05%
2022-07-31,30.46%
2022-08-31,2.97%
2022-09-30,2.16%
2022-10-31,8.14%
2022-11-30,3.53%
2022-12-31,2.23%
2023-01-31,11.66%
2023-02-28,15.01%
2023-03-31,1.65%
2023-04-30,5.93%
2023-05-31,-0.9%
2023-06-30,-0.13%
2023-07-31,3.52%
2023-08-31,2.34%
2023-09-30,5.71%
2023-10-31,5.1%
2023-11-30,1.42%
2023-12-31,11.69%
2024-01-31,0.62%
2024-02-29,9.57%
2024-03-31,8.59%
2024-04-30,0.61%
2024-05-31,1.66%
2024-06-30,-1.8%
2024-07-31,0.43%
2024-08-31,7.25%
2024-09-30,4.13%
2024-10-31,4.81%
2024-11-30,10.11%
2024-12-31,5.72%
2025-01-31,1.7%
2025-02-28,-1.28%
2025-03-31,0.02%
2025-04-30,-0.66%
2025-05-31,-0.53%
2025-06-30,-4.83%
2025-07-31,12.08%
2025-08-31,1.09%
2025-09-30,0.38%
