,0
累积净值,1.27
年化收益,35.87%
最大回撤,-11.07%
最大回撤开始时间,2024-11-21 09:00:00
最大回撤结束时间,2025-01-03 22:00:00
年化收益/回撤比,3.24
盈利周期数,3496.0
亏损周期数,3391.0
胜率,50.75%
每周期平均收益,0.00%
盈亏收益比,1.03
单周期最大盈利,1.79%
单周期大亏损,-1.95%
最大连续盈利周期数,14.0
最大连续亏损周期数,15.0
收益率标准差,0.18%
