,0
累积净值,0.81
年化收益,-23.34%
最大回撤,-40.21%
最大回撤开始时间,2024-12-28 13:00:00
最大回撤结束时间,2025-07-24 16:00:00
年化收益/回撤比,-0.58
盈利周期数,3305.0
亏损周期数,3582.0
胜率,47.98%
每周期平均收益,-0.00%
盈亏收益比,1.05
单周期最大盈利,4.38%
单周期大亏损,-3.65%
最大连续盈利周期数,10.0
最大连续亏损周期数,13.0
收益率标准差,0.26%
