,0
累积净值,70.9
年化收益,148.86%
最大回撤,-34.19%
最大回撤开始时间,2022-04-05 02:00:00
最大回撤结束时间,2022-05-12 06:00:00
年化收益/回撤比,4.35
盈利周期数,21469.0
亏损周期数,19474.0
胜率,52.44%
每周期平均收益,0.01%
盈亏收益比,1.03
单周期最大盈利,5.47%
单周期大亏损,-7.87%
最大连续盈利周期数,14.0
最大连续亏损周期数,60.0
收益率标准差,0.28%
