candle_begin_time,涨跌幅
2021-03-31,234.56%
2021-06-30,37.41%
2021-09-30,60.95%
2021-12-31,30.62%
2022-03-31,22.83%
2022-06-30,8.97%
2022-09-30,31.59%
2022-12-31,10.57%
2023-03-31,26.86%
2023-06-30,1.42%
2023-09-30,13.66%
2023-12-31,18.01%
2024-03-31,20.04%
2024-06-30,2.77%
2024-09-30,8.84%
2024-12-31,31.5%
2025-03-31,7.59%
2025-06-30,1.78%
2025-09-30,12.89%
