,0
累积净值,1.05
年化收益,6.69%
最大回撤,-9.69%
最大回撤开始时间,2025-02-17 07:00:00
最大回撤结束时间,2025-04-05 00:00:00
年化收益/回撤比,0.69
盈利周期数,3487.0
亏损周期数,3400.0
胜率,50.62%
每周期平均收益,0.00%
盈亏收益比,0.99
单周期最大盈利,1.78%
单周期大亏损,-1.32%
最大连续盈利周期数,11.0
最大连续亏损周期数,14.0
收益率标准差,0.18%
