,0
累积净值,1.57
年化收益,77.54%
最大回撤,-15.89%
最大回撤开始时间,2024-11-24 07:00:00
最大回撤结束时间,2025-01-30 12:00:00
年化收益/回撤比,4.88
盈利周期数,3413.0
亏损周期数,3473.0
胜率,49.56%
每周期平均收益,0.01%
盈亏收益比,1.1
单周期最大盈利,9.49%
单周期大亏损,-3.69%
最大连续盈利周期数,15.0
最大连续亏损周期数,24.0
收益率标准差,0.33%
