,0
累积净值,1.28
年化收益,44.15%
最大回撤,-10.99%
最大回撤开始时间,2025-02-18 16:00:00
最大回撤结束时间,2025-06-10 12:00:00
年化收益/回撤比,4.02
盈利周期数,2981.0
亏损周期数,2898.0
胜率,50.70%
每周期平均收益,0.00%
盈亏收益比,1.02
单周期最大盈利,2.01%
单周期大亏损,-2.34%
最大连续盈利周期数,10.0
最大连续亏损周期数,26.0
收益率标准差,0.24%
