,0
累积净值,1.1
年化收益,13.23%
最大回撤,-60.00%
最大回撤开始时间,2024-12-13 23:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,0.22
盈利周期数,3566.0
亏损周期数,3320.0
胜率,51.78%
每周期平均收益,0.00%
盈亏收益比,0.95
单周期最大盈利,5.51%
单周期大亏损,-9.89%
最大连续盈利周期数,11.0
最大连续亏损周期数,23.0
收益率标准差,0.80%
