candle_begin_time,涨跌幅
2024-11-30,27.95%
2024-12-31,4.76%
2025-01-31,-10.96%
2025-02-28,-16.52%
2025-03-31,-15.19%
2025-04-30,3.4%
2025-05-31,-5.15%
2025-06-30,-4.12%
2025-07-31,19.17%
2025-08-31,13.74%
2025-09-30,2.37%
