,0
累积净值,0.61
年化收益,-52.59%
最大回撤,-61.81%
最大回撤开始时间,2025-01-06 16:00:00
最大回撤结束时间,2025-04-09 00:00:00
年化收益/回撤比,-0.85
盈利周期数,3045.0
亏损周期数,2834.0
胜率,51.79%
每周期平均收益,-0.01%
盈亏收益比,0.91
单周期最大盈利,5.37%
单周期大亏损,-10.75%
最大连续盈利周期数,11.0
最大连续亏损周期数,17.0
收益率标准差,0.80%
