,0
累积净值,0.83
年化收益,-20.77%
最大回撤,-86.29%
最大回撤开始时间,2025-05-10 09:00:00
最大回撤结束时间,2025-06-18 07:00:00
年化收益/回撤比,-0.24
盈利周期数,3429.0
亏损周期数,3458.0
胜率,49.78%
每周期平均收益,0.02%
盈亏收益比,1.04
单周期最大盈利,30.75%
单周期大亏损,-12.39%
最大连续盈利周期数,13.0
最大连续亏损周期数,10.0
收益率标准差,2.19%
