candle_begin_time,涨跌幅
2021-03-31,1406.73%
2021-06-30,5.61%
2021-09-30,91.04%
2021-12-31,53.34%
2022-03-31,14.19%
2022-06-30,-39.36%
2022-09-30,92.1%
2022-12-31,-2.73%
2023-03-31,78.02%
2023-06-30,-8.31%
2023-09-30,25.77%
2023-12-31,79.5%
2024-03-31,92.85%
2024-06-30,-33.94%
2024-09-30,-7.51%
2024-12-31,32.56%
2025-03-31,-42.2%
2025-06-30,-18.78%
2025-09-30,31.39%
