,0
累积净值,214.12
年化收益,215.25%
最大回撤,-69.38%
最大回撤开始时间,2022-04-05 12:00:00
最大回撤结束时间,2022-05-12 06:00:00
年化收益/回撤比,3.1
盈利周期数,22088.0
亏损周期数,18855.0
胜率,53.95%
每周期平均收益,0.02%
盈亏收益比,0.91
单周期最大盈利,11.51%
单周期大亏损,-20.77%
最大连续盈利周期数,15.0
最大连续亏损周期数,22.0
收益率标准差,0.85%
