,0
累积净值,0.69
年化收益,-38.07%
最大回撤,-71.57%
最大回撤开始时间,2024-12-04 15:00:00
最大回撤结束时间,2025-06-22 15:00:00
年化收益/回撤比,-0.53
盈利周期数,3447.0
亏损周期数,3440.0
胜率,50.04%
每周期平均收益,-0.00%
盈亏收益比,0.99
单周期最大盈利,7.82%
单周期大亏损,-11.13%
最大连续盈利周期数,9.0
最大连续亏损周期数,11.0
收益率标准差,0.92%
