,0
累积净值,1.07
年化收益,8.69%
最大回撤,-62.91%
最大回撤开始时间,2024-12-13 17:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,0.14
盈利周期数,3588.0
亏损周期数,3299.0
胜率,52.09%
每周期平均收益,0.00%
盈亏收益比,0.93
单周期最大盈利,5.90%
单周期大亏损,-10.58%
最大连续盈利周期数,11.0
最大连续亏损周期数,14.0
收益率标准差,0.86%
