,0
累积净值,0.82
年化收益,-22.35%
最大回撤,-64.43%
最大回撤开始时间,2024-12-08 22:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,-0.35
盈利周期数,3577.0
亏损周期数,3310.0
胜率,51.93%
每周期平均收益,0.00%
盈亏收益比,0.93
单周期最大盈利,7.92%
单周期大亏损,-10.81%
最大连续盈利周期数,10.0
最大连续亏损周期数,13.0
收益率标准差,0.86%
