,0
累积净值,1.12
年化收益,15.49%
最大回撤,-11.03%
最大回撤开始时间,2025-03-11 00:00:00
最大回撤结束时间,2025-04-06 01:00:00
年化收益/回撤比,1.4
盈利周期数,3440.0
亏损周期数,3447.0
胜率,49.94%
每周期平均收益,0.00%
盈亏收益比,1.03
单周期最大盈利,3.04%
单周期大亏损,-1.94%
最大连续盈利周期数,11.0
最大连续亏损周期数,15.0
收益率标准差,0.19%
