,0
累积净值,0.74
年化收益,-32.16%
最大回撤,-70.08%
最大回撤开始时间,2024-12-13 17:00:00
最大回撤结束时间,2025-06-22 21:00:00
年化收益/回撤比,-0.46
盈利周期数,3546.0
亏损周期数,3341.0
胜率,51.48%
每周期平均收益,-0.00%
盈亏收益比,0.94
单周期最大盈利,6.00%
单周期大亏损,-10.83%
最大连续盈利周期数,11.0
最大连续亏损周期数,13.0
收益率标准差,0.90%
