,0
累积净值,1.28
年化收益,44.34%
最大回撤,-9.79%
最大回撤开始时间,2025-02-01 12:00:00
最大回撤结束时间,2025-02-03 04:00:00
年化收益/回撤比,4.53
盈利周期数,3015.0
亏损周期数,2864.0
胜率,51.28%
每周期平均收益,0.00%
盈亏收益比,1.01
单周期最大盈利,1.70%
单周期大亏损,-3.01%
最大连续盈利周期数,10.0
最大连续亏损周期数,18.0
收益率标准差,0.21%
