,0
累积净值,0.89
年化收益,-14.09%
最大回撤,-63.97%
最大回撤开始时间,2024-12-13 17:00:00
最大回撤结束时间,2025-04-09 00:00:00
年化收益/回撤比,-0.22
盈利周期数,3540.0
亏损周期数,3347.0
胜率,51.39%
每周期平均收益,0.00%
盈亏收益比,0.95
单周期最大盈利,9.97%
单周期大亏损,-10.90%
最大连续盈利周期数,11.0
最大连续亏损周期数,14.0
收益率标准差,0.89%
