,0
累积净值,21.37
年化收益,4815.65%
最大回撤,-65.50%
最大回撤开始时间,2025-03-20 16:00:00
最大回撤结束时间,2025-04-10 07:00:00
年化收益/回撤比,73.52
盈利周期数,3411.0
亏损周期数,3476.0
胜率,49.52%
每周期平均收益,0.07%
盈亏收益比,1.12
单周期最大盈利,30.14%
单周期大亏损,-14.74%
最大连续盈利周期数,14.0
最大连续亏损周期数,10.0
收益率标准差,2.08%
