,0
累积净值,0.87
年化收益,-16.76%
最大回撤,-65.01%
最大回撤开始时间,2024-12-08 22:00:00
最大回撤结束时间,2025-04-07 06:00:00
年化收益/回撤比,-0.26
盈利周期数,3557.0
亏损周期数,3330.0
胜率,51.64%
每周期平均收益,0.00%
盈亏收益比,0.94
单周期最大盈利,8.08%
单周期大亏损,-10.97%
最大连续盈利周期数,9.0
最大连续亏损周期数,14.0
收益率标准差,0.89%
