candle_begin_time,涨跌幅
2025-01-31,10.04%
2025-02-28,7.49%
2025-03-31,-1.73%
2025-04-30,-1.93%
2025-05-31,0.41%
2025-06-30,-0.92%
2025-07-31,7.61%
2025-08-31,4.26%
2025-09-30,0.46%
