candle_begin_time,涨跌幅
2021-03-31,191.25%
2021-06-30,31.24%
2021-09-30,23.4%
2021-12-31,28.69%
2022-03-31,18.03%
2022-06-30,28.7%
2022-09-30,29.66%
2022-12-31,29.43%
2023-03-31,-0.84%
2023-06-30,8.44%
2023-09-30,23.42%
2023-12-31,14.14%
2024-03-31,12.78%
2024-06-30,4.2%
2024-09-30,-5.01%
2024-12-31,22.18%
2025-03-31,14.27%
2025-06-30,-3.02%
2025-09-30,12.37%
