candle_begin_time,涨跌幅
2021-03-31,89.3%
2021-06-30,57.36%
2021-09-30,12.96%
2021-12-31,9.54%
2022-03-31,26.01%
2022-06-30,45.28%
2022-09-30,2.64%
2022-12-31,23.5%
2023-03-31,11.69%
2023-06-30,12.4%
2023-09-30,13.41%
2023-12-31,6.11%
2024-03-31,5.27%
2024-06-30,22.08%
2024-09-30,19.11%
2024-12-31,33.32%
2025-03-31,33.09%
2025-06-30,8.32%
2025-09-30,2.06%
