candle_begin_time,涨跌幅
2021-01-31,22.58%
2021-02-28,15.36%
2021-03-31,33.88%
2021-04-30,12.24%
2021-05-31,17.17%
2021-06-30,19.65%
2021-07-31,1.81%
2021-08-31,3.58%
2021-09-30,7.13%
2021-10-31,-1.82%
2021-11-30,6.69%
2021-12-31,4.58%
2022-01-31,18.89%
2022-02-28,11.58%
2022-03-31,-5.01%
2022-04-30,11.57%
2022-05-31,12.2%
2022-06-30,16.06%
2022-07-31,-5.51%
2022-08-31,10.29%
2022-09-30,-1.51%
2022-10-31,3.42%
2022-11-30,7.72%
2022-12-31,10.86%
2023-01-31,-4.59%
2023-02-28,12.94%
2023-03-31,3.64%
2023-04-30,-0.18%
2023-05-31,3.7%
2023-06-30,8.58%
2023-07-31,1.63%
2023-08-31,5.61%
2023-09-30,5.67%
2023-10-31,0.95%
2023-11-30,3.37%
2023-12-31,1.69%
2024-01-31,7.22%
2024-02-29,-8.22%
2024-03-31,6.97%
2024-04-30,14.46%
2024-05-31,-3.01%
2024-06-30,9.97%
2024-07-31,5.01%
2024-08-31,21.08%
2024-09-30,-6.32%
2024-10-31,8.46%
2024-11-30,8.62%
2024-12-31,13.18%
2025-01-31,13.96%
2025-02-28,9.99%
2025-03-31,6.18%
2025-04-30,6.56%
2025-05-31,-0.56%
2025-06-30,2.22%
2025-07-31,-2.31%
2025-08-31,4.02%
2025-09-30,0.44%
