,0
累积净值,38.8
年化收益,118.75%
最大回撤,-17.94%
最大回撤开始时间,2022-04-30 23:00:00
最大回撤结束时间,2022-05-12 06:00:00
年化收益/回撤比,6.62
盈利周期数,21035.0
亏损周期数,19908.0
胜率,51.38%
每周期平均收益,0.01%
盈亏收益比,1.05
单周期最大盈利,7.70%
单周期大亏损,-4.86%
最大连续盈利周期数,14.0
最大连续亏损周期数,60.0
收益率标准差,0.28%
